pincode,state,locality_name,area_type,year,population,total_crimes,crime_rate_per_100k,murder_cases,rape_cases,kidnapping_cases,robbery_cases,theft_cases,burglary_cases,fraud_cases,domestic_violence_cases,crimes_against_women,crimes_against_tourists,insurgency_incidents,flood_events,flood_affected_population,landslide_events,landslide_affected_population,earthquake_events,max_earthquake_magnitude,lightning_strikes,forest_fires,cyclone_events,road_accidents,road_fatalities,road_injuries,railway_accidents,aviation_incidents,emergency_response_time_minutes,annual_rainfall_mm,rainfall_variability_coefficient,max_temperature_celsius,min_temperature_celsius,extreme_weather_days,monsoon_onset_deviation_days,hospitals_per_100k,police_stations_per_100k,fire_stations_per_100k,mobile_network_coverage_percent,internet_connectivity_percent,road_connectivity_index,power_supply_reliability_percent,crime_score,natural_hazard_score,transport_safety_score,infrastructure_score,composite_safety_score,risk_category
790003,Arunachal Pradesh,Pasighat New,Hill Station,2019,5739,7,121.97,0,2,1,0,3,0,1,0,2,2,0,2,538,2,278,3,5.6,9,2,0,1,0,2,0,0,19.5,3060.3,0.178,22.6,8.0,27,-12,45.6,19.6,5.2,92.8,35.1,74.0,68.2,84.75,46,100.0,55.0,73.96,Safe
790003,Arunachal Pradesh,Pasighat New,Hill Station,2020,5796,4,69.01,0,1,0,1,2,0,0,0,1,2,1,8,563,6,473,5,7.1,5,0,0,0,0,0,0,0,43.0,4597.4,0.181,21.8,3.6,24,-19,25.3,5.1,3.2,62.1,70.1,67.2,86.6,91.37,0,95.0,40.26,59.76,Moderate Risk
790003,Arunachal Pradesh,Pasighat New,Hill Station,2021,5853,2,34.17,0,0,1,0,0,1,0,0,1,0,1,3,1611,3,524,2,7.4,22,5,0,3,0,4,0,1,20.2,2890.4,0.328,21.2,2.3,24,-15,20.5,29.5,5.3,66.7,90.0,48.9,67.0,95.73,22,100.0,44.59,69.56,Safe
790003,Arunachal Pradesh,Pasighat New,Hill Station,2022,5911,3,50.75,0,0,0,0,2,0,1,0,0,0,2,2,1315,7,499,2,3.4,10,4,0,4,0,7,0,0,11.6,1642.4,0.219,22.1,4.8,29,12,24.3,27.7,1.0,79.3,33.3,80.3,51.0,93.66,10,100.0,48.91,65.67,Safe
790003,Arunachal Pradesh,Pasighat New,Hill Station,2023,5968,1,16.76,0,0,0,0,1,0,0,0,0,0,0,5,1629,5,244,1,6.0,10,2,0,4,0,5,0,0,35.3,3293.3,0.339,25.7,8.6,35,15,27.1,7.9,9.4,64.1,89.3,93.9,93.0,97.91,22,100.0,46.98,70.57,Safe
790003,Arunachal Pradesh,Pasighat New,Hill Station,2024,6026,5,82.97,0,0,1,1,1,0,2,1,2,2,0,4,400,4,304,7,5.4,9,1,0,1,0,2,0,0,50.8,4493.5,0.153,22.6,3.4,27,7,11.6,8.6,9.5,78.3,42.8,82.7,57.1,89.63,4,100.0,38.17,61.39,Moderate Risk
790004,Arunachal Pradesh,Itanagar Colony,Semi-Urban,2019,6491,6,92.44,1,0,0,1,3,0,1,0,0,0,2,3,583,2,180,1,6.1,7,0,0,1,0,1,0,0,44.0,1291.7,0.141,31.8,9.9,22,8,37.6,14.0,16.2,82.7,39.1,96.3,57.1,88.45,64,100.0,50.45,80.2,Very Safe
790004,Arunachal Pradesh,Itanagar Colony,Semi-Urban,2020,6556,5,76.27,0,1,1,0,0,2,1,0,1,0,0,3,1193,4,342,1,7.0,11,0,0,3,0,6,0,0,42.5,1726.1,0.25,36.5,12.9,28,-17,16.4,27.5,6.6,97.7,61.2,54.2,82.5,90.47,52,100.0,49.93,77.26,Safe
790004,Arunachal Pradesh,Itanagar Colony,Semi-Urban,2021,6621,1,15.1,0,0,0,0,0,1,0,0,0,0,1,5,941,2,198,2,5.2,13,0,0,0,0,0,0,0,42.6,3357.0,0.39,34.7,19.1,25,13,42.2,10.7,13.0,72.2,46.8,90.0,101.0,98.11,46,95.0,54.26,77.32,Safe
790004,Arunachal Pradesh,Itanagar Colony,Semi-Urban,2022,6686,8,119.65,0,0,0,0,6,2,0,2,2,0,0,4,1239,5,474,2,5.0,9,0,0,2,0,4,0,0,9.6,3465.6,0.345,28.7,19.7,20,-12,53.3,5.0,3.1,95.3,35.7,57.0,103.3,85.04,34,100.0,53.91,70.36,Safe
